"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@brunelldonald @realDonaldTrump @POTUS Thank you!",FALSE,0,"brunelldonald",2017-01-30 13:52:51,FALSE,"825933450863587328","826065643946520576","244844283","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RainieMarquez",0,FALSE,FALSE,NA,NA
"2","RT @DHSgov: DHS will continue to enforce all of @POTUS<U+2019>s Executive Orders in a manner that ensures the safety and security of the American<U+2026>",FALSE,0,NA,2017-01-30 13:52:51,FALSE,NA,"826065643933941760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dekelley14",1566,TRUE,FALSE,NA,NA
"3","RT @meoowgirl: Cuando te cancelan el plan pero te vale, porque de todos modos no ibas a ir: https://t.co/Pm7q8bLChI",FALSE,0,NA,2017-01-30 13:52:51,FALSE,NA,"826065643371900929",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Potus_Frio",736,TRUE,FALSE,NA,NA
"4","@morningmika You diluted!  Seems you get lots of access to the POTUS.  Couldn't be connected, could it?",FALSE,0,"DevinMonteverde",2017-01-30 13:52:51,FALSE,"825547800477835266","826065643237683204","306233396","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DevinMonteverde",0,FALSE,FALSE,NA,NA
"5","RT @DBloom451: Morons at #morningjoe are SUPER DUPER UPSET that @POTUS exec order didn't go thru ""regular process""<U+2014>so that could be LEAKED<U+2026>",FALSE,0,NA,2017-01-30 13:52:51,FALSE,NA,"826065643036360704",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NYPolJunkie",62,TRUE,FALSE,NA,NA
"6","RT @VABVOX: Trump supporters are trolling #SAGawards to say how actors shouldn't do politics.
They voted for a reality TV star for POTUS.<U+2026>",FALSE,0,NA,2017-01-30 13:52:51,FALSE,NA,"826065642931486724",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","thenurse75",772,TRUE,FALSE,NA,NA
"7","RT @ElianaBenador: From Jerusalem, my Orthodox rabbis' Blessing, Mr. President @POTUS
""Let's hope, pray that President Trump will succeed i<U+2026>",FALSE,0,NA,2017-01-30 13:52:51,FALSE,NA,"826065642755354624",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hollymeredith9",2,TRUE,FALSE,NA,NA
"8","RT @RoguePOTUSStaff: Under early morning advice from Bannon POTUS to push Spicer to accuse #MuslimBan protests of compromising national sec<U+2026>",FALSE,0,NA,2017-01-30 13:52:51,FALSE,NA,"826065642570780673",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mysticalsusan",1260,TRUE,FALSE,NA,NA
"9","RT @NkirukaNistoran: Will Nigeria Be Next? Of course BokoHaram and Fulani HerdsMen Are 1st,4th Deadliest Terrorist In The World @POTUS   ht<U+2026>",FALSE,0,NA,2017-01-30 13:52:51,FALSE,NA,"826065642465927168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NwekeJero",81,TRUE,FALSE,NA,NA
"10","Dont Louise Menshn Rogue POTUS Staff https://t.co/5ElwJz1FpV",FALSE,0,NA,2017-01-30 13:52:51,FALSE,NA,"826065642386231297",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lance63",0,FALSE,FALSE,NA,NA
