"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @asamjulian: WOW: Nancy Pelosi caught on HOT MIC, tells congressman, ""Tell em you're a Muslim"" during speech about opposing Trump's immi<U+2026>",FALSE,0,NA,2017-02-02 13:18:45,FALSE,NA,"827144226643255297",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlanDelano1",11600,TRUE,FALSE,NA,NA
"2","RT @CelesteKatzNYC: Calls for Muslim ban during campaign. Gets elected and says EO isn't a ban. Today: ""call it what you want"" https://t.co<U+2026>",FALSE,0,NA,2017-02-02 13:18:45,FALSE,NA,"827144225494011904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Greenthehegehog",27,TRUE,FALSE,NA,NA
"3","RT @billmaher: Will those who called Hillary ""lesser of 2 evils""admit how wrong u were? Muslim ban, Betsy DeVoss, Pruit, Perry in charge of<U+2026>",FALSE,0,NA,2017-02-02 13:18:44,FALSE,NA,"827144220850913280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","carmenBwifemom",12307,TRUE,FALSE,NA,NA
"4","Reject Trump's Muslim Ban https://t.co/EM2rdCIpxe @moveon @MPower_Change",FALSE,0,NA,2017-02-02 13:18:44,FALSE,NA,"827144220347600896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Nycgirl0914",0,FALSE,FALSE,NA,NA
"5","RT @littlemisspudgy: sweetie @trump is listening who knows he might ban indian muzzies? Your muslim pimp won't be able to earn dollars. htt<U+2026>",FALSE,0,NA,2017-02-02 13:18:43,FALSE,NA,"827144217352949760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","t_anupam",4,TRUE,FALSE,NA,NA
"6","RT @billmaher: Will those who called Hillary ""lesser of 2 evils""admit how wrong u were? Muslim ban, Betsy DeVoss, Pruit, Perry in charge of<U+2026>",FALSE,0,NA,2017-02-02 13:18:43,FALSE,NA,"827144216438513666",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","boomie3",12307,TRUE,FALSE,NA,NA
"7","RT @asamjulian: WOW: Nancy Pelosi caught on HOT MIC, tells congressman, ""Tell em you're a Muslim"" during speech about opposing Trump's immi<U+2026>",FALSE,0,NA,2017-02-02 13:18:42,FALSE,NA,"827144214504931329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nodramahea",11600,TRUE,FALSE,NA,NA
"8","RT @THR: Samantha Bee breaks down the immigrant ban, or ""the executive hairball that Trump<U+2019>s team coughed up for him to sign"" https://t.co/<U+2026>",FALSE,0,NA,2017-02-02 13:18:42,FALSE,NA,"827144213250850817",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kiptonwallis",8,TRUE,FALSE,NA,NA
"9","Reject Trump's Muslim Ban https://t.co/LuiBLqcAg1 @moveon @MPower_Change",FALSE,0,NA,2017-02-02 13:18:40,FALSE,NA,"827144204602187777",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ramones74",0,FALSE,FALSE,NA,NA
"10","RT @WangCecillia: NY State seeks to join @ACLU @NILC_org @RefugeeAssist and Yale clinic in case challenging Trump's Muslim ban.",FALSE,0,NA,2017-02-02 13:18:39,FALSE,NA,"827144200185602048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hollandbrook1",115,TRUE,FALSE,NA,NA
"11","If it's a Muslim Ban why is it only the 7 countries that are TRAINING TERRORISTS?THIS IS A LEFT WING LIE REPEATED DAILY.
NOT A MUSLIM BAN!",FALSE,0,NA,2017-02-02 13:18:38,FALSE,NA,"827144196607922176",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JeanneGray99",0,FALSE,FALSE,NA,NA
"12","RT @Palespanish: Kuwait has issued a 'Trump style' ban on 5 muslim majority countries but you won't see any outrage about this... https://t<U+2026>",FALSE,0,NA,2017-02-02 13:18:37,FALSE,NA,"827144190882635776",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","nibinchristian",53,TRUE,FALSE,NA,NA
"13","RT @PrisonPlanet: Amazing how many Muslims agree with Trump's ""Muslim ban"".

It's almost like it's NOT a Muslim ban. https://t.co/lJMZ4YZOKy",FALSE,0,NA,2017-02-02 13:18:36,FALSE,NA,"827144187053240320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NC_Zero",2848,TRUE,FALSE,NA,NA
"14","RT @three_sparrows: Trump 'Muslim ban' illegal under human rights law, says UN https://t.co/REoGR2ZnEe

<U+56FD><U+9023><U+4EBA><U+6A29><U+9AD8><U+7B49><U+5F01><U+52D9><U+5B98><U+3082><U+3001><U+56FD><U+969B><U+4EBA><U+6A29><U+6CD5><U+4E0A><U+9055><U+6CD5><U+3068><U+660E><U+8A00><U+3002>",FALSE,0,NA,2017-02-02 13:18:36,FALSE,NA,"827144186784669696",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","kayoko1043",19,TRUE,FALSE,NA,NA
"15","So I wrote a proposal for this intellegence course and my boss wanted me to cover the Muslim ban topic.",FALSE,1,NA,2017-02-02 13:18:36,FALSE,NA,"827144185920835584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AllTooEphemeral",0,FALSE,FALSE,NA,NA
"16","RT @moonsunight: and the lgbt+ page. And oh, he also signed an EO for Muslim Ban, and another one to allow discrimination for the LGBT+ com<U+2026>",FALSE,0,NA,2017-02-02 13:18:35,FALSE,NA,"827144184356184064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fksvck",1,TRUE,FALSE,NA,NA
"17","RT @ByCommonConsent: He institutes a Muslim ban.
He takes Jews out of the Holocaust.
He mocks the memory of Frederick Douglass.
It's white<U+2026>",FALSE,0,NA,2017-02-02 13:18:34,FALSE,NA,"827144177645453312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jeggerly",10477,TRUE,FALSE,NA,NA
"18","RT @ByCommonConsent: He institutes a Muslim ban.
He takes Jews out of the Holocaust.
He mocks the memory of Frederick Douglass.
It's white<U+2026>",FALSE,0,NA,2017-02-02 13:18:34,FALSE,NA,"827144177511231489",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mapledipped",10477,TRUE,FALSE,NA,NA
"19","RT @billmaher: Will those who called Hillary ""lesser of 2 evils""admit how wrong u were? Muslim ban, Betsy DeVoss, Pruit, Perry in charge of<U+2026>",FALSE,0,NA,2017-02-02 13:18:33,FALSE,NA,"827144174612971520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lex23669",12307,TRUE,FALSE,NA,NA
"20","RT @CBSNews: The 7 nations that Pres. Trump put on the travel ban list possess a common trait: They don<U+2019>t have Trump properties https://t.c<U+2026>",FALSE,0,NA,2017-02-02 13:18:32,FALSE,NA,"827144171718864896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrittanyonTV",182,TRUE,FALSE,NA,NA
"21","RT @PrisonPlanet: Amazing how many Muslims agree with Trump's ""Muslim ban"".

It's almost like it's NOT a Muslim ban. https://t.co/lJMZ4YZOKy",FALSE,0,NA,2017-02-02 13:18:32,FALSE,NA,"827144169424449537",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","InfidelPrince",2848,TRUE,FALSE,NA,NA
"22","https://t.co/0e8VzVjCXR I'll just put this out here #educateyourself",FALSE,0,NA,2017-02-02 13:18:32,FALSE,NA,"827144168652886016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MikeOC1312",0,FALSE,FALSE,NA,NA
"23","RT @KhaledBeydoun: Hate Mail: Get used to the Muslim Ban, it ain't going nowhere.  

Response: Get ready for a fight you've never seen, we<U+2026>",FALSE,0,NA,2017-02-02 13:18:32,FALSE,NA,"827144168443150337",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dsandfia",104,TRUE,FALSE,NA,NA
"24","RT @billmaher: Will those who called Hillary ""lesser of 2 evils""admit how wrong u were? Muslim ban, Betsy DeVoss, Pruit, Perry in charge of<U+2026>",FALSE,0,NA,2017-02-02 13:18:31,FALSE,NA,"827144168329846784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marjoriekslater",12307,TRUE,FALSE,NA,NA
"25","RT @LibyaLiberty: But don't call it a Muslim ban. https://t.co/aWscip1uVM",FALSE,0,NA,2017-02-02 13:18:31,FALSE,NA,"827144168174673920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wooodskate",213,TRUE,FALSE,NA,NA
"26","RT @keithellison: In addition to Muslim ban, @realDonaldTrump proposed to close mosques, set up database to track Muslims,  deport 11M undo<U+2026>",FALSE,0,NA,2017-02-02 13:18:31,FALSE,NA,"827144167004344320",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aliensnipehuntr",205,TRUE,FALSE,NA,NA
"27","Opinion: Muslim Ban Protecting Trump Profits Is Impeachable Offense - https://t.co/QQfwf90nkF",FALSE,0,NA,2017-02-02 13:18:30,FALSE,NA,"827144162390720513",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","infomanusa",0,FALSE,FALSE,NA,NA
"28","RT @SenSanders: President Trump's Muslim ban is un-American, is unconstitutional and is going to make us less safe, not more safe. https://<U+2026>",FALSE,0,NA,2017-02-02 13:18:30,FALSE,NA,"827144161040142340",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","skinnyminniie_",32655,TRUE,FALSE,NA,NA
"29","RT @asamjulian: WOW: Nancy Pelosi caught on HOT MIC, tells congressman, ""Tell em you're a Muslim"" during speech about opposing Trump's immi<U+2026>",FALSE,0,NA,2017-02-02 13:18:29,FALSE,NA,"827144156875280384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MrJodey10",11598,TRUE,FALSE,NA,NA
"30","RT @WritersofColour: Trump sued by doctor whose visa was revoked 'for having Muslim prayer app on phone'... https://t.co/eGCqg293vJ",FALSE,0,NA,2017-02-02 13:18:28,FALSE,NA,"827144154794905602",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JerryDohnal",43,TRUE,FALSE,NA,NA
"31","RT @CBSNews: The 7 nations that Pres. Trump put on the travel ban list possess a common trait: They don<U+2019>t have Trump properties https://t.c<U+2026>",FALSE,0,NA,2017-02-02 13:18:28,FALSE,NA,"827144152748015619",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","superbelks",182,TRUE,FALSE,NA,NA
"32","RT @ByCommonConsent: He institutes a Muslim ban.
He takes Jews out of the Holocaust.
He mocks the memory of Frederick Douglass.
It's white<U+2026>",FALSE,0,NA,2017-02-02 13:18:27,FALSE,NA,"827144151271612417",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","meredithheron",10473,TRUE,FALSE,NA,NA
"33","RT @PrisonPlanet: Amazing how many Muslims agree with Trump's ""Muslim ban"".

It's almost like it's NOT a Muslim ban. https://t.co/lJMZ4YZOKy",FALSE,0,NA,2017-02-02 13:18:27,FALSE,NA,"827144149937901568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","egsuchanek",2848,TRUE,FALSE,NA,NA
"34","RT @Mikel_Jollett: White nationalist who murdered 6 at Quebec mosque has killed more than all refugees from all ban countries combined. htt<U+2026>",FALSE,0,NA,2017-02-02 13:18:24,FALSE,NA,"827144138529394688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","elligator",19970,TRUE,FALSE,NA,NA
"35","RT @ByCommonConsent: He institutes a Muslim ban.
He takes Jews out of the Holocaust.
He mocks the memory of Frederick Douglass.
It's white<U+2026>",FALSE,0,NA,2017-02-02 13:18:24,FALSE,NA,"827144136985821184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","njgirl0976",10473,TRUE,FALSE,NA,NA
"36","RT @ByCommonConsent: He institutes a Muslim ban.
He takes Jews out of the Holocaust.
He mocks the memory of Frederick Douglass.
It's white<U+2026>",FALSE,0,NA,2017-02-02 13:18:24,FALSE,NA,"827144136012734464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JessifurLee",10473,TRUE,FALSE,NA,NA
"37","RT @Slate: The Fugitive Slave Act catalyzed a movement. Will Trump<U+2019>s Muslim ban do the same? https://t.co/q0E4lwIxw9 https://t.co/Sj3KzmgZ7h",FALSE,0,NA,2017-02-02 13:18:23,FALSE,NA,"827144134506983425",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","benjaminfitzpa2",23,TRUE,FALSE,NA,NA
"38","RT @JerryMcBeth2: London<U+2019>s Muslim Mayor Hosts Party With 11 Nations That Ban the Jewish State https://t.co/Te4em0kkvo via @pamelageller",FALSE,0,NA,2017-02-02 13:18:23,FALSE,NA,"827144134293078016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lisafedup",1,TRUE,FALSE,NA,NA
"39","'Woman Dies' After Trump's Order Prevents Her Return to U.S. https://t.co/qck2Z0d9iG",FALSE,0,NA,2017-02-02 13:18:23,FALSE,NA,"827144134255325185",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","JewishNewsViews",0,FALSE,FALSE,NA,NA
"40","RT @ishaantharoor: interviewed @TurnbullMalcolm a year ago. He thought a Muslim ban was a bad idea and was against demonizing refugees http<U+2026>",FALSE,0,NA,2017-02-02 13:18:23,FALSE,NA,"827144131927379971",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ElissaMilne",421,TRUE,FALSE,NA,NA
"41","RT @Majid_Agha: Kuwait bans Pakistan, Iran, Iraq, Afghanistan &amp; Syria. When Iraq attacked Kuwait, Pakistan sent Army to help Kuwait.
https:<U+2026>",FALSE,0,NA,2017-02-02 13:18:22,FALSE,NA,"827144128001617921",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AsadAlamKhan1",15,TRUE,FALSE,NA,NA
"42","RT @keithellison: In addition to Muslim ban, @realDonaldTrump proposed to close mosques, set up database to track Muslims,  deport 11M undo<U+2026>",FALSE,0,NA,2017-02-02 13:18:22,FALSE,NA,"827144127963942913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Markeeeee",205,TRUE,FALSE,NA,NA
"43","RT @CBSNews: The 7 nations that Pres. Trump put on the travel ban list possess a common trait: They don<U+2019>t have Trump properties https://t.c<U+2026>",FALSE,0,NA,2017-02-02 13:18:20,FALSE,NA,"827144121051652097",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tierney_joyce",182,TRUE,FALSE,NA,NA
"44","RT @TheLTDA: All of your friends are deleting Uber. Here's how https://t.co/LkRPzWfQ9O",FALSE,0,NA,2017-02-02 13:18:20,FALSE,NA,"827144120619634688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dapperdean1",114,TRUE,FALSE,NA,NA
"45","A lying muslim, what a shock. Detroit man LIED when he claimed Trump's travel ban killed his mom https://t.co/YIexNI6mKZ via @MailOnline",FALSE,0,NA,2017-02-02 13:18:20,FALSE,NA,"827144120011517953",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","emanualwcoleman",0,FALSE,FALSE,NA,NA
"46","This Bookstore's Response To The Anti-Muslim Ban Is Perfect https://t.co/GnDgn9G67q",FALSE,0,NA,2017-02-02 13:18:17,FALSE,NA,"827144107529207809",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","PaperbackBruce",0,FALSE,FALSE,NA,NA
"47","RT @Hatewatch: Daily Stormer Targets Federal Judges Ruling Against #Trump's Muslim Ban #Islamophobia https://t.co/wRR4jOeyfk https://t.co/7<U+2026>",FALSE,0,NA,2017-02-02 13:18:16,FALSE,NA,"827144104140296192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EveForster",110,TRUE,FALSE,NA,NA
"48","RT @trunils: Muslim refugee hv no place in Muslim country Kuwait Saudi Arabia but Liberals arise the issues when non-Muslim country ban them",FALSE,0,NA,2017-02-02 13:18:15,FALSE,NA,"827144100453445632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AkhilaPadhi",1,TRUE,FALSE,NA,NA
"49","RT @SenWarren: No, @realDonaldTrump, your illegal, unconstitutional, immoral Muslim ban is not about keeping us safe at all. https://t.co/v<U+2026>",FALSE,0,NA,2017-02-02 13:18:13,FALSE,NA,"827144090609389568",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","bairdella1",2778,TRUE,FALSE,NA,NA
"50","RT @HHRGatUL: Demos today in Cork, Dublin, Galway &amp; Shannon standing against the #MuslimBan &amp; in solidarity with all refugees https://t.co/<U+2026>",FALSE,0,NA,2017-02-02 13:18:13,FALSE,NA,"827144089946685440",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sbprme",5,TRUE,FALSE,NA,NA
"51","RT @ByCommonConsent: He institutes a Muslim ban.
He takes Jews out of the Holocaust.
He mocks the memory of Frederick Douglass.
It's white<U+2026>",FALSE,0,NA,2017-02-02 13:18:12,FALSE,NA,"827144085555273728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ACBLimehouse",10477,TRUE,FALSE,NA,NA
"52","Lol he literally said ""Muslim ban"" several times during his campaign. Did you miss that part? https://t.co/EFmGW9x08f",FALSE,0,NA,2017-02-02 13:18:11,FALSE,NA,"827144081994313728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iWearSkinnyTies",0,FALSE,FALSE,NA,NA
