"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","&lt;snort&gt;

#TheResistance
#RefugeesWelcome
#StandingUnited https://t.co/WQZMn0RK7K",FALSE,0,NA,2017-02-04 06:04:30,FALSE,NA,"827759718118461440",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Patriotpssy",0,FALSE,FALSE,NA,NA
"2","I wonder what's next

#TheResistance
#RefugeesWelcome
#StandingUnited https://t.co/eQqgyOEcIt",FALSE,0,NA,2017-02-04 06:04:13,FALSE,NA,"827759645481586688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Patriotpssy",0,FALSE,FALSE,NA,NA
"3","RT @EMMRefugees: What are we to do in response to the suffering of our refugee brothers and sisters? #supportrefugees #refugeeswelcome http<U+2026>",FALSE,0,NA,2017-02-04 06:03:42,FALSE,NA,"827759518268420097",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EpiscopalSEFL",2,TRUE,FALSE,NA,NA
"4","I'm not even religious, and still found this beautiful and powerful. #nobannowall #RefugeesWelcome #coexist #iloveny https://t.co/XJ95TIEo9x",FALSE,0,NA,2017-02-04 06:03:42,FALSE,NA,"827759518092316672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","andreaburzynski",0,FALSE,FALSE,NA,NA
"5","Probably my last tweet on #RefugeeBan . 
Please, spread the word on #RefugeesWelcome instead. 
Thank You! :) 
#NoBanNoWall #banTrumpFromUK",FALSE,0,NA,2017-02-04 06:03:05,FALSE,NA,"827759363485896705",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mehnaz_2302",0,FALSE,FALSE,NA,NA
"6","RT @Analisa_Swan: This is the USA most of us know and love! <U+2764><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> Thank you @CNN for reporting this! #DemForce #NoBanNoWall #RefugeesWelcome<U+2026>",FALSE,0,NA,2017-02-04 06:02:36,FALSE,NA,"827759240278396930",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xseane",12,TRUE,FALSE,NA,NA
"7","RT @LacyClayMO1: Judge issues broad block against Trump's travel ban via @POLITICO #RefugeesWelcome #NoBanNoWall  https://t.co/pjINmxjkas",FALSE,0,NA,2017-02-04 06:02:01,FALSE,NA,"827759092756336640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sagaston",3,TRUE,FALSE,NA,NA
"8","RT @AMDWaters: Rapists of ""extreme brutality"" didn't know it was illegal. That's how they treat women back home. #RefugeesWelcome https://t<U+2026>",FALSE,0,NA,2017-02-04 06:02:00,FALSE,NA,"827759089505726464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kickedinyo",154,TRUE,FALSE,NA,NA
"9","RT @ElaineEb64: ThankYou for the sign @racvictoria Great march in Melbourne,Amazing speakers!#closethecamps #Bringthemhere #RefugeesWelcome<U+2026>",FALSE,0,NA,2017-02-04 06:01:57,FALSE,NA,"827759076138315776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","racvictoria",9,TRUE,FALSE,NA,NA
"10","RT @ElaineEb64: ThankYou for the sign @racvictoria Great march in Melbourne,Amazing speakers!#closethecamps #Bringthemhere #RefugeesWelcome<U+2026>",FALSE,0,NA,2017-02-04 06:01:51,FALSE,NA,"827759051266150400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pedwards2014",9,TRUE,FALSE,NA,NA
"11","RT @UNICEF: 80 years apart, these two refugees have more in common than you<U+2019>d think. #RefugeesWelcome #foreverychild https://t.co/ctrI56tLnV",FALSE,0,NA,2017-02-04 06:01:50,FALSE,NA,"827759045029212161",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Danty_Jumadi1",881,TRUE,FALSE,NA,NA
"12","Remember their names.

#TheResistance
#RefugeesWelcome
#StandingUnited https://t.co/UBNB4IZwIn",FALSE,0,NA,2017-02-04 06:01:44,FALSE,NA,"827759023386529792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Patriotpssy",0,FALSE,FALSE,NA,NA
"13","RT @UNICEF: Not migrant children. 
Not refugee children.
Children are children.

#RefugeesWelcome #foreverychild https://t.co/eggmY7IsVu",FALSE,0,NA,2017-02-04 06:01:05,FALSE,NA,"827758858839932928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AncientBalcony",1503,TRUE,FALSE,NA,NA
"14","How Broadway's Hamilton Demonstrates Feminist Delusions <ed><U+00A0><U+00BC><ed><U+00BE><U+0093>#RefugeesWelcome IS ""The Trojan Horse of the Modern Era"" <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> https://t.co/nf6OSiI4zp",FALSE,0,NA,2017-02-04 06:01:00,FALSE,NA,"827758838082330625",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MarcusCurtis15",0,FALSE,FALSE,NA,NA
"15","The entire Trump administration needs to read this.

#TheResistance
#RefugeesWelcome
#StandingUnited https://t.co/ubcEuT921e",FALSE,0,NA,2017-02-04 06:00:17,FALSE,NA,"827758658163400704",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Patriotpssy",0,FALSE,FALSE,NA,NA
"16","#Racoons vs #Refugees 
#RefugeesWelcome ?
Culture matters. https://t.co/tpvPheI1vv",FALSE,0,NA,2017-02-04 05:59:13,FALSE,NA,"827758387190337536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","volfmont",0,FALSE,FALSE,NA,NA
"17","RT @ElaineEb64: ThankYou for the sign @racvictoria Great march in Melbourne,Amazing speakers!#closethecamps #Bringthemhere #RefugeesWelcome<U+2026>",FALSE,0,NA,2017-02-04 05:59:05,FALSE,NA,"827758354026094593",NA,"<a href=""http://www.PLACEHOLDERpoliticsnews.com"" rel=""nofollow"">Politics News</a>","YesToRefugeesUK",9,TRUE,FALSE,NA,NA
"18","RT @ElaineEb64: ThankYou for the sign @racvictoria Great march in Melbourne,Amazing speakers!#closethecamps #Bringthemhere #RefugeesWelcome<U+2026>",FALSE,0,NA,2017-02-04 05:58:31,FALSE,NA,"827758212640149505",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kif_inti_mary",9,TRUE,FALSE,NA,NA
"19","Once again the home state gets it right. Go. Big. Red. #NoBanNoWall #RefugeesWelcome https://t.co/M3GXLpE93W",FALSE,0,NA,2017-02-04 05:58:06,FALSE,NA,"827758107723829248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mondeming",0,FALSE,FALSE,NA,NA
"20","RT @ElaineEb64: ThankYou for the sign @racvictoria Great march in Melbourne,Amazing speakers!#closethecamps #Bringthemhere #RefugeesWelcome<U+2026>",FALSE,0,NA,2017-02-04 05:56:39,FALSE,NA,"827757743511461888",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","sallyth3956",9,TRUE,FALSE,NA,NA
"21","RT @ElaineEb64: ThankYou for the sign @racvictoria Great march in Melbourne,Amazing speakers!#closethecamps #Bringthemhere #RefugeesWelcome<U+2026>",FALSE,0,NA,2017-02-04 05:56:18,FALSE,NA,"827757656039239682",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","rranwa",9,TRUE,FALSE,NA,NA
"22","Right. How about the people, as opposed to your friends?

#TheResistance
#RefugeesWelcome
#StandingUnited https://t.co/6JGHmVpECL",FALSE,0,NA,2017-02-04 05:56:10,FALSE,NA,"827757621356556288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Patriotpssy",0,FALSE,FALSE,NA,NA
"23","RT @UNICEF: #foreverychid, a safe home. We must protect refugee &amp; migrant children - no matter where they come from. #RefugeesWelcome #Chil<U+2026>",FALSE,0,NA,2017-02-04 05:55:17,FALSE,NA,"827757398785916928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RA_Spencer",353,TRUE,FALSE,NA,NA
"24","RT @StephAmnestyOz: This is what Australians think of #Nauru and #Manus @TurnbullMalcolm #RefugeesWelcome  #bringthemhere @amnestyOz https:<U+2026>",FALSE,0,NA,2017-02-04 05:55:16,FALSE,NA,"827757394469875713",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jeethojill",23,TRUE,FALSE,NA,NA
"25","#NoMuslimBan #NoBanNoWall #iStandWithRefugees #RefugeesWelcome #IslamItuDamai

PERHIMPUNAN #NOMUSLIMBAN DAPAT... https://t.co/aTumCsd8ta",FALSE,0,NA,2017-02-04 05:54:38,FALSE,NA,"827757237011623936",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Msia4Syria",0,FALSE,FALSE,NA,NA
"26","RT @InTheNeeNee: Sauti (Voice) is one of these U.S. premieres!! https://t.co/SvRRQgYMgd Thank you #Cinequest. #RefugeesWelcome #thinkhumani<U+2026>",FALSE,0,NA,2017-02-04 05:54:23,FALSE,NA,"827757171190484992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThinkHumanity",1,TRUE,FALSE,NA,NA
"27","RT @LacyClayMO1: Judge issues broad block against Trump's travel ban via @POLITICO #RefugeesWelcome #NoBanNoWall  https://t.co/pjINmxjkas",FALSE,0,NA,2017-02-04 05:54:15,FALSE,NA,"827757139624095745",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","russelltim151",3,TRUE,FALSE,NA,NA
"28","RT @umyazzie: The future is bright. #MuslimBan #RefugeesWelcome https://t.co/Yxwa00pnYo",FALSE,0,NA,2017-02-04 05:54:07,FALSE,NA,"827757104844959744",NA,"<a href=""http://www.PLACEHOLDERpoliticsnews.com"" rel=""nofollow"">Politics News</a>","YesToRefugeesUK",100,TRUE,FALSE,NA,NA
"29","RT @ACLU: The home of the brave does not fear helping people in need. #NoMuslimBan #NoBanNoWall #RefugeesWelcome https://t.co/AgkRrLIBwA",FALSE,0,NA,2017-02-04 05:53:53,FALSE,NA,"827757047361921024",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","cadoized",4044,TRUE,FALSE,NA,NA
